site,flux,flux_y0,flux_y1,soil,soil_y0,soil_y1,lat,lon,igbp,n_halfhour,has_soil,grid_idx,grid_dist_km
AU-Lox,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Lox_2008-2009_FLUXNET2015_Flux.nc,2008,2009,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Lox_2008-2009.nc,2008.0,2009.0,-34.470401763916016,140.6551055908203,DBF,35088,True,422405,5.026129526098632
AU-MvA,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-MvA_2024-2024_FLUXNET2015_Flux.nc,2024,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-MvA_2023-2024.nc,2023.0,2024.0,-30.542999267578125,150.02000427246094,CRO,17568,True,406702,8.090072650729672
AU-MvB,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-MvB_2024-2024_FLUXNET2015_Flux.nc,2024,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-MvB_2024-2024.nc,2024.0,2024.0,-30.69700050354004,150.08999633789062,CRO,17568,True,407827,8.485074683307879
AU-Otw,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Otw_2008-2010_FLUXNET2015_Flux.nc,2008,2010,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Otw_2007-2010.nc,2007.0,2010.0,-38.53234100341797,142.81680297851562,GRA,26304,True,437509,20.39696083977052
AU-RDF,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-RDF_2012-2012_FLUXNET2015_Flux.nc,2012,2012,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-RDF_2011-2013.nc,2011.0,2013.0,-14.563599586486816,132.47760009765625,WSA,17568,True,336791,10.112138548855818
AU-Rgf,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Rgf_2016-2024_FLUXNET2015_Flux.nc,2016,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Rgf_2015-2025.nc,2015.0,2025.0,-32.506099700927734,116.96682739257812,CRO,157824,True,414474,15.292023156967396
AU-Rig,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Rig_2011-2016_FLUXNET2015_Flux.nc,2011,2016,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Rig_2011-2017.nc,2011.0,2017.0,-36.649898529052734,145.57589721679688,GRA,105216,True,431060,8.544613846517084
AU-Rob,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Rob_2014-2024_FLUXNET2015_Flux.nc,2014,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Rob_2013-2025.nc,2013.0,2025.0,-17.11750030517578,145.63009643554688,EBF,192864,True,348358,14.18519826804356
AU-Sam,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Sam_2011-2017_FLUXNET2015_Flux.nc,2011,2017,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Sam_2010-2017.nc,2010.0,2017.0,-27.388099670410156,152.8778076171875,GRA,122736,True,393975,12.141557686848245
AU-Sil,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Sil_2020-2024_FLUXNET2015_Flux.nc,2020,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Sil_2019-2024.nc,2019.0,2024.0,-42.09055709838867,147.08749389648438,GRA,87696,True,450656,15.197140661675688
AU-Sno,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Sno_2024-2024_FLUXNET2015_Flux.nc,2024,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Sno_2024-2025.nc,2024.0,2025.0,-36.375648498535156,148.43585205078125,EBF,17568,True,429988,9.38783130269631
AU-Stp,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Stp_2009-2024_FLUXNET2015_Flux.nc,2009,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Stp_2008-2025.nc,2008.0,2025.0,-17.150699615478516,133.35020446777344,GRA,280512,True,349594,15.285841966258364
AU-TTE,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-TTE_2013-2025_FLUXNET2015_Flux.nc,2013,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-TTE_2012-2025.nc,2012.0,2025.0,-22.28700065612793,133.63999938964844,OSH,227904,True,372286,6.198473499458724
AU-Tum,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Tum_2002-2021_FLUXNET2015_Flux.nc,2002,2021,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Tum_2002-2022.nc,2002.0,2022.0,-35.65660095214844,148.15170288085938,EBF,175320,True,426747,18.103088745869947
