site,flux,flux_y0,flux_y1,soil,soil_y0,soil_y1,lat,lon,igbp,n_halfhour,has_soil,grid_idx,grid_dist_km
CA-Man,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Man_1995-2007_FLUXNET2015_Flux.nc,1995,2007,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Man_1994-2008.nc,1994.0,2008.0,55.879600524902344,-98.48079681396484,ENF,227904,True,48298,11.715025120450973
CA-Mer,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Mer_1999-2020_FLUXNET2015_Flux.nc,1999,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Mer_1998-2020.nc,1998.0,2020.0,45.409400939941406,-75.5186996459961,?,385728,True,80048,11.507720068841873
CA-Mtk,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Mtk_2024-2024_FLUXNET2015_Flux.nc,2024,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Mtk_2024-2024.nc,2024.0,2024.0,72.66950225830078,-77.99810028076172,GRA,17568,True,13033,19.990663572543916
CA-Na1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Na1_2004-2005_FLUXNET2015_Flux.nc,2004,2005,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Na1_2003-2005.nc,2003.0,2005.0,46.473838806152344,-67.09932708740234,MF,35088,True,76230,4.52758540629405
CA-Ojp,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Ojp_2000-2010_FLUXNET2015_Flux.nc,2000,2010,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Ojp_1999-2010.nc,1999.0,2010.0,53.91633987426758,-104.69203186035156,ENF,192864,True,53692,15.117685080137045
CA-PB1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-PB1_2017-2023_FLUXNET2015_Flux.nc,2017,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-PB1_2016-2024.nc,2016.0,2024.0,54.94169998168945,-83.45790100097656,WET,122688,True,50611,1.3033989101884267
CA-Qc2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Qc2_2008-2009_FLUXNET2015_Flux.nc,2008,2009,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Qc2_2007-2010.nc,2007.0,2010.0,49.75983810424805,-74.57109832763672,MF,35088,True,65478,13.710123017083857
CA-Qfo,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-Qfo_2004-2010_FLUXNET2015_Flux.nc,2004,2010,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-Qfo_2003-2010.nc,2003.0,2010.0,49.692501068115234,-74.34210205078125,ENF,122736,True,66343,16.159819570091123
CA-SCC,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-SCC_2014-2018_FLUXNET2015_Flux.nc,2014,2018,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-SCC_2013-2024.nc,2013.0,2024.0,61.307899475097656,-121.29920196533203,ENF,87648,True,34192,15.212466997581044
CA-SF2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-SF2_2003-2004_FLUXNET2015_Flux.nc,2003,2004,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-SF2_2001-2005.nc,2001.0,2005.0,54.25389862060547,-105.87750244140625,ENF,35088,True,52099,14.483977858462048
CA-SF3,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-SF3_2002-2005_FLUXNET2015_Flux.nc,2002,2005,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-SF3_2001-2006.nc,2001.0,2006.0,54.09159851074219,-106.00530242919922,OSH,70128,True,52889,12.718223432092833
CA-SMC,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-SMC_2018-2018_FLUXNET2015_Flux.nc,2018,2018,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-SMC_2018-2018.nc,2018.0,2018.0,63.15340042114258,-123.252197265625,ENF,17520,True,30363,14.436425054310385
CA-TP1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-TP1_2003-2023_FLUXNET2015_Flux.nc,2003,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-TP1_2002-2023.nc,2002.0,2023.0,42.6609001159668,-80.55950164794922,ENF,368160,True,88674,22.465087296279584
CA-TP3,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-TP3_2003-2023_FLUXNET2015_Flux.nc,2003,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CA-TP3_2002-2023.nc,2002.0,2023.0,42.7067985534668,-80.34829711914062,ENF,368160,True,88675,18.54102117043963
CA-TVC,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CA-TVC_2017-2017_FLUXNET2015_Flux.nc,2017,2017,,,,68.74620056152344,-133.50169372558594,OSH,17520,False,19308,7.7892535610579605
CD-Ygb,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CD-Ygb_2021-2024_FLUXNET2015_Flux.nc,2021,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CD-Ygb_2020-2025.nc,2020.0,2025.0,0.8144440054893494,24.502471923828125,MF,70128,True,267287,12.991946850087736
CG-Tch,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CG-Tch_2007-2009_FLUXNET2015_Flux.nc,2007,2009,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CG-Tch_2006-2009.nc,2006.0,2009.0,-4.2891998291015625,11.656399726867676,SAV,52608,True,290282,18.833412522390994
CH-Aws,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Aws_2007-2024_FLUXNET2015_Flux.nc,2007,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Aws_2006-2024.nc,2006.0,2024.0,46.583309173583984,9.790419578552246,ENF,315600,True,75475,8.663941821323942
CH-Cha,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Cha_2006-2024_FLUXNET2015_Flux.nc,2006,2024,,,,47.21022033691406,8.410440444946289,GRA,333120,False,73670,15.325179760310002
CH-Crs,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Crs_2015-2016_FLUXNET2015_Flux.nc,2015,2016,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Crs_2015-2016.nc,2015.0,2016.0,47.04359817504883,7.047500133514404,GRA,35088,True,73667,11.993307550301228
CH-Dav,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Dav_1997-2024_FLUXNET2015_Flux.nc,1997,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Dav_1997-2025.nc,1997.0,2025.0,46.81533432006836,9.85591983795166,ENF,490896,True,74574,11.280795923226442
CH-For,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-For_2024-2024_FLUXNET2015_Flux.nc,2024,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-For_2024-2024.nc,2024.0,2024.0,46.52720642089844,6.759540557861328,CRO,17568,True,75467,1.9938587501933658
CH-Frk,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Frk_2013-2014_FLUXNET2015_Flux.nc,2013,2014,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Frk_2013-2014.nc,2013.0,2014.0,46.57763671875,8.421591758728027,GRA,35040,True,75471,15.096886072915373
CH-Lae,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Lae_2005-2024_FLUXNET2015_Flux.nc,2005,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Lae_2004-2024.nc,2004.0,2024.0,47.478084564208984,8.364999771118164,MF,350640,True,72770,14.089138213044002
CH-Oe2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Oe2_2004-2024_FLUXNET2015_Flux.nc,2004,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Oe2_2004-2024.nc,2004.0,2024.0,47.28630447387695,7.734330177307129,CRO,368208,True,72768,12.591380651232178
CH-Rh2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Rh2_2019-2021_FLUXNET2015_Flux.nc,2019,2021,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Rh2_2018-2021.nc,2018.0,2021.0,47.29999923706055,9.5,GRA,52608,True,72773,9.609560250460786
CH-Rtb,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CH-Rtb_2010-2022_FLUXNET2015_Flux.nc,2010,2022,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CH-Rtb_2009-2022.nc,2009.0,2022.0,47.380401611328125,8.993399620056152,GRA,227904,True,72771,14.866881319246383
CL-ACF,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CL-ACF_2019-2020_FLUXNET2015_Flux.nc,2019,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CL-ACF_2018-2020.nc,2018.0,2020.0,-40.17259979248047,-73.44390106201172,ENF,35088,True,444043,13.989593903321705
CL-SDF,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CL-SDF_2014-2021_FLUXNET2015_Flux.nc,2014,2021,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CL-SDF_2014-2021.nc,2014.0,2021.0,-41.882999420166016,-73.6760025024414,EBF,140256,True,451042,17.817413677320886
CN-Aro,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Aro_2013-2024_FLUXNET2015_Flux.nc,2013,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Aro_2013-2024.nc,2013.0,2024.0,38.047340393066406,100.46431732177734,GRA,210384,True,105278,12.015581599347875
CN-Ash,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Ash_2009-2018_FLUXNET2015_Flux.nc,2009,2018,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Ash_2009-2019.nc,2009.0,2019.0,24.53805923461914,101.02916717529297,EBF,175296,True,159752,9.21261155049442
CN-BeO,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-BeO_2012-2020_FLUXNET2015_Flux.nc,2012,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-BeO_2012-2020.nc,2012.0,2020.0,40.02621078491211,116.39143371582031,MF,157824,True,98156,9.759830189096572
CN-Dan,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Dan_2011-2019_FLUXNET2015_Flux.nc,2011,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Dan_2011-2020.nc,2011.0,2020.0,30.497800827026367,91.06639862060547,GRA,157776,True,135007,12.818290244580142
CN-Dda,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Dda_2011-2014_FLUXNET2015_Flux.nc,2011,2014,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Dda_2011-2014.nc,2011.0,2014.0,41.64397048950195,110.33146667480469,GRA,70128,True,92139,17.3418172128106
CN-Din,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Din_2010-2020_FLUXNET2015_Flux.nc,2010,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Din_2010-2020.nc,2010.0,2020.0,23.17329978942871,112.53610229492188,EBF,192864,True,165790,3.913116503109043
CN-Dmn,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Dmn_2013-2024_FLUXNET2015_Flux.nc,2013,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Dmn_2012-2024.nc,2012.0,2024.0,38.85551071166992,100.37223052978516,CRO,210384,True,102191,16.861169071170387
CN-Dsh,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Dsh_2014-2024_FLUXNET2015_Flux.nc,2014,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Dsh_2013-2024.nc,2013.0,2024.0,38.83992004394531,98.94059753417969,GRA,192864,True,102186,16.024417641582655
CN-Du2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Du2_2011-2019_FLUXNET2015_Flux.nc,2011,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Du2_2011-2019.nc,2011.0,2019.0,42.04669952392578,116.28359985351562,GRA,157776,True,91156,3.644190600562466
CN-Dzo,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Dzo_2010-2020_FLUXNET2015_Flux.nc,2010,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Dzo_2010-2020.nc,2010.0,2020.0,19.54599952697754,109.4749984741211,EBF,192864,True,181829,7.379824971228609
CN-Erg,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Erg_2016-2019_FLUXNET2015_Flux.nc,2016,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Erg_2016-2019.nc,2016.0,2019.0,50.1869010925293,119.38890075683594,GRA,70128,True,64216,14.080201642080688
CN-GuT,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-GuT_2015-2017_FLUXNET2015_Flux.nc,2015,2017,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-GuT_2015-2017.nc,2015.0,2017.0,34.35480880737305,100.48719787597656,GRA,52608,True,119318,16.198092212756613
CN-Ha2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Ha2_2011-2019_FLUXNET2015_Flux.nc,2011,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Ha2_2011-2019.nc,2011.0,2019.0,37.60860061645508,101.32689666748047,WET,157776,True,107441,10.14013949080318
CN-HaM,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-HaM_2002-2014_FLUXNET2015_Flux.nc,2002,2014,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-HaM_2001-2014.nc,2001.0,2014.0,37.369998931884766,101.18000030517578,GRA,227904,True,108521,20.10519463337788
CN-Huz,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Huz_2016-2023_FLUXNET2015_Flux.nc,2016,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Huz_2015-2024.nc,2015.0,2024.0,51.470001220703125,123.01000213623047,MF,140256,True,59904,12.768832195942704
CN-Jng,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Jng_2019-2024_FLUXNET2015_Flux.nc,2019,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Jng_2018-2024.nc,2018.0,2024.0,37.83869171142578,101.114501953125,GRA,105216,True,106360,11.002292297985315
CN-Jzh,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Jzh_2016-2016_FLUXNET2015_Flux.nc,2016,2016,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Jzh_2011-2016.nc,2011.0,2016.0,41.1480598449707,121.20166778564453,CRO,17568,True,94170,10.227970111561346
CN-Lch,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Lch_2017-2020_FLUXNET2015_Flux.nc,2017,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Lch_2008-2020.nc,2008.0,2020.0,37.88935852050781,114.69288635253906,CRO,70128,True,106401,10.353203598677114
CN-Lsh,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Lsh_2003-2006_FLUXNET2015_Flux.nc,2003,2006,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Lsh_2002-2006.nc,2002.0,2006.0,45.27983856201172,127.57820892333984,DNF,70128,True,79629,13.333155071297725
CN-Mxn,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Mxn_2015-2018_FLUXNET2015_Flux.nc,2015,2018,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Mxn_2015-2019.nc,2015.0,2019.0,31.694799423217773,103.89510345458984,MF,70128,True,130547,13.248339397052293
CN-Nmn,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Nmn_2015-2019_FLUXNET2015_Flux.nc,2015,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Nmn_2015-2019.nc,2015.0,2019.0,42.946109771728516,120.72693634033203,CRO,87648,True,88251,10.071231079715403
CN-Qng,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Qng_2023-2023_FLUXNET2015_Flux.nc,2023,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Qng_2022-2024.nc,2022.0,2024.0,33.46807098388672,108.49102020263672,DNF,17520,True,122686,12.834317246229945
CN-Sb1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Sb1_2021-2024_FLUXNET2015_Flux.nc,2021,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Sb1_2020-2024.nc,2020.0,2024.0,42.4090690612793,117.31461334228516,DNF,70128,True,90178,14.793281349140463
CN-Sdq,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Sdq_2014-2024_FLUXNET2015_Flux.nc,2014,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Sdq_2013-2024.nc,2013.0,2024.0,42.001190185546875,101.13741302490234,OSH,192864,True,91114,2.3501139358813323
CN-SnB,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-SnB_2021-2021_FLUXNET2015_Flux.nc,2021,2021,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-SnB_2021-2021.nc,2021.0,2021.0,31.690500259399414,121.65630340576172,WET,17520,True,130602,9.858249089059212
CN-Wnb,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Wnb_2021-2021_FLUXNET2015_Flux.nc,2021,2021,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Wnb_2021-2021.nc,2021.0,2021.0,40.42876052856445,106.7422866821289,BSV,17520,True,97130,18.775025419473387
CN-Xi2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Xi2_2011-2020_FLUXNET2015_Flux.nc,2011,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Xi2_2011-2020.nc,2011.0,2020.0,43.55278015136719,116.67138671875,GRA,175344,True,86320,15.318998368600354
CN-YaS,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-YaS_2012-2020_FLUXNET2015_Flux.nc,2012,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-YaS_2011-2020.nc,2011.0,2020.0,37.708770751953125,107.22654724121094,OSH,157824,True,106379,13.706520388812878
CN-Yuc,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Yuc_2015-2020_FLUXNET2015_Flux.nc,2015,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Yuc_2011-2020.nc,2011.0,2020.0,36.95000076293945,116.5999984741211,CRO,105216,True,109647,5.955459582788248
CN-Zha,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CN-Zha_2013-2024_FLUXNET2015_Flux.nc,2013,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CN-Zha_2012-2024.nc,2012.0,2024.0,39.0,100.0,GRA,210384,True,102189,16.012073578648536
CR-AqC,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CR-AqC_2010-2016_FLUXNET2015_Flux.nc,2010,2016,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CR-AqC_2009-2016.nc,2009.0,2016.0,9.938368797302246,-83.72889709472656,EBF,122736,True,225942,10.093891046031876
CR-Fsc,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CR-Fsc_2015-2018_FLUXNET2015_Flux.nc,2015,2018,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CR-Fsc_2015-2018.nc,2015.0,2018.0,10.418899536132812,-85.47319793701172,CRO,70128,True,223376,13.633057615140176
CZ-BK1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CZ-BK1_2004-2025_FLUXNET2015_Flux.nc,2004,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CZ-BK1_2004-2025.nc,2004.0,2025.0,49.50212860107422,18.5368595123291,ENF,385728,True,65701,18.3990731543767
CZ-BK2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CZ-BK2_2006-2012_FLUXNET2015_Flux.nc,2006,2012,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CZ-BK2_2006-2012.nc,2006.0,2012.0,49.49443054199219,18.542850494384766,GRA,122736,True,65702,19.13167760486332
CZ-KrP,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CZ-KrP_2014-2023_FLUXNET2015_Flux.nc,2014,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CZ-KrP_2014-2023.nc,2014.0,2023.0,49.57326126098633,15.07876968383789,CRO,175296,True,65693,6.5076545066976434
CZ-Lnz,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CZ-Lnz_2015-2025_FLUXNET2015_Flux.nc,2015,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CZ-Lnz_2015-2025.nc,2015.0,2025.0,48.681549072265625,16.946331024169922,DBF,192864,True,68291,13.745892618437809
CZ-RAJ,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CZ-RAJ_2012-2024_FLUXNET2015_Flux.nc,2012,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CZ-RAJ_2012-2024.nc,2012.0,2024.0,49.443721771240234,16.69651222229004,ENF,227952,True,66561,13.835471248669187
CZ-Stn,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CZ-Stn_2010-2024_FLUXNET2015_Flux.nc,2010,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CZ-Stn_2010-2024.nc,2010.0,2024.0,49.03597640991211,17.969900131225586,DBF,262992,True,67428,3.903581511003118
CZ-wet,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/CZ-wet_2007-2025_FLUXNET2015_Flux.nc,2007,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_CZ-wet_2006-2025.nc,2006.0,2025.0,49.02465057373047,14.770350456237793,WET,333120,True,67420,13.737717656033247
DE-Akm,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Akm_2010-2024_FLUXNET2015_Flux.nc,2010,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Akm_2009-2024.nc,2009.0,2024.0,53.86616516113281,13.683420181274414,WET,262992,True,53155,13.20319353931573
DE-Amv,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Amv_2023-2025_FLUXNET2015_Flux.nc,2023,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Amv_2023-2025.nc,2023.0,2025.0,52.17570114135742,6.95536994934082,WET,52608,True,57951,11.724477629649591
DE-Brs,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Brs_2024-2025_FLUXNET2015_Flux.nc,2024,2025,,,,52.296630859375,10.448710441589355,CRO,35088,False,57149,19.59916118275048
DE-Etn,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Etn_2024-2024_FLUXNET2015_Flux.nc,2024,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Etn_2024-2024.nc,2024.0,2024.0,48.26848602294922,7.8782429695129395,DBF,17568,True,70069,12.043353548722836
DE-Geb,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Geb_2021-2024_FLUXNET2015_Flux.nc,2021,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Geb_2020-2024.nc,2020.0,2024.0,51.100101470947266,10.914299964904785,CRO,70128,True,61363,11.797887552601075
DE-Gri,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Gri_2004-2024_FLUXNET2015_Flux.nc,2004,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Gri_2004-2025.nc,2004.0,2025.0,50.94947052001953,13.512530326843262,GRA,368208,True,61369,14.082581633618114
DE-Gwg,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Gwg_2024-2024_FLUXNET2015_Flux.nc,2024,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Gwg_2023-2025.nc,2023.0,2025.0,47.570831298828125,11.032609939575195,DBF,17568,True,71877,14.416948379689149
DE-Hai,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Hai_2000-2024_FLUXNET2015_Flux.nc,2000,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Hai_2000-2025.nc,2000.0,2025.0,51.079166412353516,10.45300006866455,DBF,438336,True,61362,8.416536624704559
DE-Har,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Har_2020-2024_FLUXNET2015_Flux.nc,2020,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_DE-Har_2020-2025.nc,2020.0,2025.0,47.93439865112305,7.60099983215332,MF,87696,True,70968,2.0836925639415678
DE-Hdn,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/DE-Hdn_2021-2022_FLUXNET2015_Flux.nc,2021,2022,,,,53.86825180053711,13.268543243408203,CRO,35040,False,53154,15.416142712584799
